species	treatment	id
Dpri	carcass	sample_008Ab
Dpri	carcass	sample_012Ab
Dpri	carcass	sample_024Bb
Dpri	head	sample_008An
Dpri	head	sample_012An
Dpri	head	sample_024Bn
Dpri	ovary	sample_008Ao
Dpri	ovary	sample_012Ao
Dpri	ovary	sample_024Bo
Dspr	carcass	sample_106Bb
Dspr	carcass	sample_7_1_4
Dspr	carcass	sample_7_2_1
Dspr	ovary	sample_106Bo
Dspr	head	sample_7_2_2
Dspr	head	sample_106Bn
Dspr	ovary	sample_7_1_1
Dspr	ovary	sample_7_2_4
Dpic	carcass	sample_016Bb
Dpic	carcass	sample_016Cb
Dpic	carcass	sample_028Ab
Dpic	head	sample_016Bn
Dpic	head	sample_016Cn
Dpic	head	sample_028An
Dpic	ovary	sample_016Bo
Dpic	ovary	sample_016Co
Dpic	ovary	sample_028Ao
Dmac	ovary	sample_8_0_15
Dmac	carcass	sample_8_0_4
Dmac	carcass	sample_8_0_9
Dmac	carcass	sample_8_0_12
Dmac	head	sample_8_0_2
Dmac	head	sample_8_0_7
Dmac	head	sample_8_0_16
Dmac	ovary	sample_8_0_6
Dmim	carcass	sample_040Bb
Dmim	head	sample_040Bn
Dmim	ovary	sample_040Bo
Dmim	carcass	sample_040Db
Dmim	head	sample_040Dn
Dmim	ovary	sample_040Do
Dmim	ovary	sample_18_0_14
Dmim	carcass	sample_18_0_17
Dcfd	carcass	sample_16_1_4
Dcfd	carcass	sample_16_2_4
Dcfd	head	sample_16_1_2
Dcfd	head	sample_16_2_2
Dcfd	ovary	sample_16_1_1
Dcfd	ovary	sample_16_2_1
Dnan	carcass	sample_002Cb
Dnan	carcass	sample_032Ab
Dnan	carcass	sample_032Bb
Dnan	head	sample_002Cn
Dnan	head	sample_032An
Dnan	head	sample_032Bn
Dnan	ovary	sample_002Co
Dnan	ovary	sample_032Ao
Dnan	ovary	sample_032Bo
Svar	carcass	sample_CFAb
Svar	carcass	sample_CFBb
Svar	carcass	sample_CFCb
Svar	head	sample_CFAn
Svar	head	sample_CFBn
Svar	head	sample_CFCn
Svar	ovary	sample_CFAo
Svar	ovary	sample_CFBo
Svar	ovary	sample_CFCo
Scyr	carcass	sample_088Ab
Scyr	carcass	sample_088Bb
Scyr	carcass	sample_088Cb
Scyr	head	sample_088An
Scyr	head	sample_088Bn
Scyr	head	sample_088Cn
Scyr	ovary	sample_088Ao
Scyr	ovary	sample_088Bo
Scyr	ovary	sample_088Co
Svpt	carcass	sample_020Bb
Svpt	carcass	sample_020Cb
Svpt	carcass	sample_020Db
Svpt	head	sample_020Bn
Svpt	head	sample_020Cn
Svpt	head	sample_020Dn
Svpt	ovary	sample_020Bo
Svpt	ovary	sample_020Co
Svpt	ovary	sample_020Do
Datr	carcass	sample_021Ab
Datr	carcass	sample_029Db
Datr	head	sample_021An
Datr	head	sample_029Dn
Datr	ovary	sample_021Ao
Datr	ovary	sample_029Do
Dtan	carcass	sample_043Cb
Dtan	carcass	sample_056Ab
Dtan	head	sample_043Cn
Dtan	head	sample_056An
Dtan	ovary	sample_043Co
Dtan	ovary	sample_056Ao
Dtan	ovary	sample_40_2_1
Dtan	carcass	sample_40_2_4
Dtan	head	sample_40_2_2
